CUI,Hnum,DB_ref,refcode,disease,description,category,pathways,gene,pathogen,Env-factor,carcinogen,marker,drug,comment,other_DB
C1868081,H01023,MeSH,C537702,Juvenile polyposis syndrome,"""Juvenile polyposis syndrome (JPS) is an autosomal dominant condition identified by the presence of multiple benign, non-cancerous polyps called juvenile polyps in the gastrointestinal tract. A germline mutation in the SMAD4 or BMPR1A gene is found in about 50%-60% of patients with JPS. These genes play a role in the BMP/TGF-beta signalling pathway.""",Gastrointestinal disease,,"""SMAD4 [HSA:4089] [KO:K04501], BMPR1A [HSA:657] [KO:K04673]""",,,,,,,"""ICD-10: D12.6, MeSH: C537702, OMIM: 174900"""
C1868120,H01852,MeSH,C562429,Postaxial polydactyly,"""Postaxial polydactyly (PAP) is one of the commonest congenital malformations. Both isolated and syndromic forms of PAP have been reported. PAP is characterized by duplication of the fifth finger/toe on the ulnar/fibular side of hands/feet. A small projection of tissue or scar mark just below the proximal interphalangeal crease can also be the only clinical finding. PAP is clinically classified into type A (PAPA) with fully developed extra digit and type B (PAPB) with incompletely developed digit. PAPA is a genetically heterogeneous disorder and exhibits as either autosomal dominant or recessive manner of inheritance. Given that both isolated PAPA1 and PAPB are caused by the mutations in the GLI3 gene, PAPB may considered as a variant of PAPA1 in genetics.""",Musculoskeletal disease; Developmental disorder,,"""(PAPA1,PAPB) GLI3 [HSA:2737] [KO:K06230], (PAPA6) ZNF141 [HSA:7700] [KO:K09228]""",,,,,,See also H01226 GLI3 morphopathies.,"""ICD-10: Q69.0 Q69.2, MeSH: C562429, OMIM: 174200 615226"""
C1868193,H01110,OMIM,173600,Pneumothorax,"""Pneumothorax is defined as air or gas accumulated in the pleural space and can be classified as spontaneous or traumatic. Traumatic pneumothorax includes iatrogenic cases caused during procedures such as pacemaker insertion. Spontaneous pneumothorax can be subclassified as primary or secondary. Primary spontaneous pneumothorax (PSP), which is defined as a pneumothorax without underlying lung disease, predominantly occurs in young, thin males. It is usually caused by ruptured pleural blebs or bullae. Approximately 10% of patients with PSP have a positive family history. Gene mutations in folliculin (FLCN) have been found.""",Respiratory disease,,FLCN [HSA:201163] [KO:K09594],,Smoking,,,,PSP might be associated with some congenital disorders such as Marfan syndrome [DS:H00653].,"""ICD-10: J93.1, OMIM: 173600"""
C1868310,H01088,MeSH,C566801,Pigmented paravenous chorioretinal atrophy (PPCA),"""Pigmented paravenous chorioretinal atrophy (PPCRA) is a rare retinal disorder characterized by the presence of bilaterally symmetrical chorioretinal atrophy, with accumulation of bone corpuscle pigmentation along the distribution of the retinal veins. PPCA is bilaterally symmetric, although unilateral cases have been reported. Most cases are sporadic and may represent an acquired response pattern to an infectious or inflammatory disease. There may be an autosomal dominant modes of inheritance caused by a mutation in the CRB1 gene or an X-linked inheritance mode.""",Eye disease,,CRB1 [HSA:23418] [KO:K16681],,,,,,,"""MeSH: C566801, OMIM: 172870"""
C1868512,H01230,MeSH,C566813,Adult-onset autosomal dominant leukodystrophy (ADLD),"""Adult-onset autosomal dominant leukodystrophy (ADLD) is a slowly progressive neurological disorder characterized by symmetrical widespread myelin loss in the central nervous system. Although a phenotype is similar to that of multiple sclerosis, ADLD neuropathology shows preservation of oligodendroglia in the presence of subtotal demyelination and lack of astrogliosis.  It has been reported that ADLD can be caused by a tandem genomic duplication resulting in an extra copy of the lamin B1 gene.""",Inherited metabolic disease; Nervous system disease,,LMNB1 [HSA:4001] [KO:K07611],,,,,,,"""ICD-10: E75.2 G35, MeSH: C566813, OMIM: 169500"""
C1868569,H01890,MeSH,C536309,"""Pattern dystrophies of the retinal pigment epithelium, Patterned macular dystrophy, Butterfly-shaped macular dystrophy""","""Pattern dystrophies of the retinal pigment epithelium (RPE) represent a group of autosomal dominant heterogeneous disorders characterized by the development of a variety of patterns of yellow-orange-grayish pigment deposition above the RPE within the macular area. From middle age, affected individuals present with either normal or slightly diminished best corrected visual acuity (BCVA) and color vision; the activity of the RPE as measured by electro-oculogram (EOG) recordings may be abnormal. The disease is relatively benign, but it can progress with age to chorioretinal atrophy in the parafoveal and peripapillary regions.""",Nervous system disease; Eye disease,,"""(MDPT1) PRPH2 [HSA:5961] [KO:K17343], (MDPT2) CTNNA1 [HSA:1495] [KO:K05691], (MDPT3) MAPKAPK3 [HSA:7867] [KO:K04444]""",,,,,,,"""ICD-10: H35.5, MeSH: C536309, OMIM: 169150 608970 617111"""
C1868570,H00555,MeSH,C566815,Char syndrome,"""Char syndrome is a rare autosomal dominant disorder characterized by a combination of three major features: typical facial features, patent ductus arteriosus, and hypoplasia of the middle phalanges of the fifth digits.""",Developmental disorder; Cardiovascular disease,,TFAP2B [HSA:7021] [KO:K09176],,,,,,,"""MeSH: C566815, OMIM: 169100"""
C1868594,H00879,MeSH,C566822,Perry syndrome,"""Perry syndrome is a rapidly progressive, autosomal dominant, neurodegenerative disorder. The cardinal symptoms consist of parkinsonism, depression, severe weight loss and hypoventilation. At a molecular level, Perry syndrome is characterized by TDP-43 inclusions indicating a pathological overlap with amyotrophic lateral sclerosis (ALS) and some forms of frontotemporal lobar degeneration (FTLD). Perry syndrome has recently been identified as being due to mutations in the DCTN1 gene, encoding the component of the dynactin complex.""",Neurodegenerative disease,,DCTN1 [HSA:1639] [KO:K04648],,,,,,,"""MeSH: C566822, OMIM: 168605"""
C1868598,H00475,MeSH,C566826,Enlarged parietal foramina/cranium bifidum,Enlarged parietal foramina/cranium bifidum is characterised by oval defects in the parietal bones. It results from incomplete ossification of the parietal bones during development and is caused by ALX4 or MSX2 gene mutations.,Skeletal dysplasia,,"""(parietal foramina 1, parietal foramina with cleidocranial dysplasia) MSX2 [HSA:4488] [KO:K09341], (parietal foramina 2) ALX4 [HSA:60529] [KO:K09451]""",,,,,,,"""ICD-10: Q75.8, MeSH: C566826, OMIM: 168500 609597 168550"""
C1868619,H00743,MeSH,D020967,Paramyotonia congenita (PMC),"""Paramyotonia congenita (PMC), which is also known as Eulenburg's disease, is an autosomal dominant inherited disease whose predominant feature is an episodic cold- or exercise-induced muscle myotonia in exposed areas (mainly the face, neck, and hands) that lasts for minutes to hours. The disease may also progress later in life, with stiffness giving way to flaccid paralysis and weakness in exposed or exercised muscles. It is caused by mutations in the sodium channel gene SCN4A.""",Musculoskeletal disease; Nervous system disease,,SCN4A [HSA:6329] [KO:K04837],,,,,"""Mexiletine [DG:DG00197], Acetazolamide [DG:DG01134], Hydrochlorothiazide [DR:D00340]""","""PMC mutations are concentrated around exons 22 and 24 of SCN4A, the commonest mutations being the Thr1313Met mutation and a variety of substitutions at position 1448.""","""ICD-10: G71.1, MeSH: D020967, OMIM: 168300"""
C1868619,H01780,MeSH,D020967,Non-dystrophic myotonia,"""Non-dystrophic myotonias are rare diseases caused by mutations in key skeletal muscle ion channels. The major clinical manifestation is muscle stiffness as a consequence of the myotonia. Additional common symptoms include pain, weakness and fatigue. They are considered to be distinct from myotonic dystrophy because of the absence of progressive weakness and systemic features. Non-dystrophic myotonias include myotonia congenita (H00705), paramyotonia congenita (H00743), and the sodium channel myotonias (H00744).""",Musculoskeletal disease; Nervous system disease,,"""CLCN1 [HSA:1180] [KO:K05010], SCN4A [HSA:6329] [KO:K04837]""",,,,,,"""See also H00705 Myotonia congenita, H00743 Paramyotonia congenita (PMC), and H00744 Potassium-aggravated myotonias (PAMs).""","""ICD-10: G71.1, MeSH: D020967 D009224 , OMIM: 160800 255700 168300 608390"""
C1868675,H01600,MeSH,D020734,Parkinsonian syndrome,"""Parkinsonian syndromes (PS) are multisystemic diseases that produce not only motor and cognitive function impairment, but also other disorders that require the intervention of specialists other than the neurologist. PS include idiopathic Parkinson disease (PD), progressive supranuclear palsy (PSP), multiple system atrophy (MSA), corticobasal degeneration (CBD), and vascular Parkinsonism (VaP), among other rarer causes of parkinsonism. Point mutations, duplications and triplications in the alpha-synuclein gene cause a rare dominant form of PS in families. Mutations in the leucine-rich repeat kinase 2 (LRRK2) gene have been identified as a much more common cause for dominant PS, especially in certain ethnic groups, while mutations in the parkin gene, in DJ-1, PINK1 and ATP13A2 cause autosomal recessive parkinsonism of early onset.""",Neurodegenerative disease,,"""SNCA [HSA:6622] [KO:K04528], LRRK2 [HSA:120892] [KO:K08844], Parkin [HSA:5071] [KO:K04556], PINK1 [HSA:65018] [KO:K05688], DJ-1 [HSA:11315] [KO:K05687], ATP13A2 [HSA:23400] [KO:K13526], SYNJ1 [HSA:8867] [KO:K20279], DNAJC13 [HSA:23317] [KO:K09533], VPS13C [HSA:54832] [KO:K19525]""",,"""MPTP [CPD:C04599], Rotenone [CPD:C07593], Maneb [CPD:C15231], Paraquat [CPD:C14701]""",,,"""Carbidopa [DR:D00558], Levodopa [DR:D00059], Benserazide [DR:D03082], entacapone [DR:D00781], Tolcapone [DR:D00786], Pramipexole [DR:D05575], Ropinirole [DR:D08489], Rotigotine [DR:D05768], Cabergoline [DR:D00987], Apomorphine [DR:D07460], Rasagiline [DR:D08469], Selegiline [DR:D03731], Amantadine [DR:D07441]""",,"""ICD-10: G20 G21, MeSH: D020734"""
C1868684,H01889,MeSH,C538012,Meier-Gorlin syndrome,"""Meier-Gorlin syndrome (MGS) is a genetically heterogeneous primordial dwarfism syndrome characterized by microtia, patellar aplasia/hypoplasia, and a proportionate short stature. Additional clinical findings include pulmonary emphysema, feeding difficulties, urogenital abnormalities, and mammary hypoplasia. Characteristic facial features, which gradually change with age, are frequently described. Infants typically have a small mouth with full lips and micrognathia, whereas in adults, a high forehead and a more prominent, narrow nose with a broad nasal bridge are distinguishable. The diagnosis of MGS should be considered in patients with at least two of the three features of the clinical triad of microtia, patellar anomalies, and pre- and postnatal growth retardation. Mutations in genes involved in DNA-replication have been detected in patients with MGS.""",Developmental disorder,,"""(MGORS1) ORC1 [HSA:4998] [KO:K02603], (MGORS2) ORC4 [HSA:5000] [KO:K02606], (MGORS3) ORC6 [HSA:23594] [KO:K02608], (MGORS4) CDT1 [HSA:81620] [KO:K10727], (MGORS5) CDC6 [HSA:990] [KO:K02213], (MGORS6) GMNN [HSA:51053] [KO:K10749], (MGORS7) CDC45 [HSA:8318] [KO:K06628]""",,,,,,,"""ICD-10: Q87.1, MeSH: C538012, OMIM: 224690 613800 613803 613804 613805 616835 617063"""
C1868720,H00270,MeSH,D054091,Periventricular nodular heterotopia (PVNH),Periventricular nodular heterotopia (PNH) is a malformation of neuronal migration in which a subset of neurons fails to migrate into the developing cerebral cortex and composes heterotopic nodules along the lateral ventricles.,Developmental disorder; Nervous system disease,,"""(PVNH1/3) FLNA [HSA:2316] [KO:K04437], (PVNH2) ARFGEF2 [HSA:10564] [KO:K18442]""",,,,,,,"""ICD-10: Q04.8, MeSH: D054091, OMIM: 300049 300537 608097"""
C1869114,H00673,MeSH,D056846,"""Weill-Marchesani syndrome, including: Weill-Marchesani syndrome, Weill-Marchesani-like syndrome""","""Weill-Marchesani syndrome is a rare connective tissue disorder characterized by short stature, brachydactyly, ectopia lentis and spherophakia. Decreased joint flexibility is one of the features of this syndrome.""",Skeletal dysplasia; Skin and connective tissue disease,,"""(autosomal dominant) FBN1 [HSA:2200] [KO:K06825], (autosomal recessive) ADAMTS10 [HSA:81794] [KO:K08625], (Weill-Marchesani-like) ADAMTS17 [HSA:170691] [KO:K08631]""",,,,,,,"""ICD-10: Q87.1, MeSH: D056846, OMIM: 608328 277600 613195"""
C1869115,H00673,MeSH,D056846,"""Weill-Marchesani syndrome, including: Weill-Marchesani syndrome, Weill-Marchesani-like syndrome""","""Weill-Marchesani syndrome is a rare connective tissue disorder characterized by short stature, brachydactyly, ectopia lentis and spherophakia. Decreased joint flexibility is one of the features of this syndrome.""",Skeletal dysplasia; Skin and connective tissue disease,,"""(autosomal dominant) FBN1 [HSA:2200] [KO:K06825], (autosomal recessive) ADAMTS10 [HSA:81794] [KO:K08625], (Weill-Marchesani-like) ADAMTS17 [HSA:170691] [KO:K08631]""",,,,,,,"""ICD-10: Q87.1, MeSH: D056846, OMIM: 608328 277600 613195"""
C1869123,H00592,MeSH,C535895,"""Calpainopathy, Limb-girdle muscular dystrophy 2A (LGMD2A)""","""Limb-girdle muscular dystrophy 2A (LGMD2A) is caused by mutations in the CAPN3 gene encoding for calpain-3, a nonlysosomal calcium-dependent protease. This form of disorder is characterized by progressive muscle weakness and atrophy of the shoulder and pelvic girdle musculature, an elevated serum creatine kinase activity and a degeneration/regeneration pattern in muscular biopsy samples.""",Musculoskeletal disease; Nervous system disease,,CAPN3 [HSA:825] [KO:K08573],,,,,,,"""ICD-10: G71.0, MeSH: C535895, OMIM: 253600"""
C1876187,H01193,MeSH,C566870,Familial tumoral calcinosis (FTC),"""Familial tumoral calcinosis (FTC) refers to a group of disorders inherited in an autosomal recessive fashion, distinguished by the development of ectopic and vascular calcified masses that occur in settings of hyperphosphatemia (hFTC) and normophosphatemia (nFTC). hFTC is characterized by increased re-absorption of phosphate through the renal proximal tubule, resulting in elevated phosphate concentration and deposition of calcified deposits in cutaneous and subcutaneous tissues, occasionally, in visceral organs. hFTC has been shown to result from mutations in three genes: fibroblast growth factor-23 (FGF23), KL encoding Klotho, and GALNT3, which encodes a glycosyltransferase responsible for FGF23 O-glycosylation; defective function of any one of these three proteins results in hyperphosphatemia and ectopic calcification. nFTC is characterized by absence of metabolic abnormalities. nFTC has been found to be associated with absence of functional SAMD9, a putative tumor suppressor and anti-inflammatory protein.""",Inherited metabolic disease,,"""(hFTC) GALNT3 [HSA:2591] [KO:K00710], (hFTC) FGF23 [HSA:8074] [KO:K04358], (hFTC) KL [HSA:9365] [KO:K14756], (nFTC) SAMD9 [HSA:54809]""",,,,,,,"""ICD-10: M11.2, MeSH: C566870 C566473, OMIM: 211900 610455"""
C1876203,H00528,MeSH,C538065,Frontonasal dysplasia,"""Frontonasal dysplasia is a rare developmental field defect with separation or clefting of the central portion of the face. Its basic characteristics include hypertelorism, a broad nose, or complete midline splitting of the nose.""",Developmental disorder,,"""ALX1 [HSA:8092] [KO:K09334], ALX3 [HSA:257] [KO:K09323], ALX4 [HSA:60529] [KO:K09451]""",,,,,,,"""MeSH: C538065, OMIM: 613456 613451"""
C1876203,H00850,MeSH,C538065,Frontorhiny,"""Frontorhiny is a recently characterized autosomal recessive frontonasal malformation with hypertelorism, abnormal nasal configuration, and cleft lip. This disorder is caused by disturbed developmental sequence between 4 and 8 weeks in which formation of the face takes place.""",Developmental disorder,,ALX3 [HSA:257] [KO:K09323],,,,,,,"""ICD-10: Q75.8, MeSH: C538065, OMIM: 136760"""
C1879286,H01263,OMIM,113900,"""Progressive cardiac conduction defect (PCCD), Progressive familial heart block (PFHB), Lenegre-Lev disease""","""Progressive cardiac conduction defect (PCCD) is a cardiac bundle branch disorder characterized by progressive alteration of cardiac conduction through the His-Purkinje system. It leads to complete atrioventricular block causing syncope and sudden death. Mutations in the SCN5A gene encoding the cardiac sodium channel are responsible for Brugada syndrome (BS) and also for PCCD. Furthermore, another PCCD is caused by mutations in TRPM4.""",Cardiovascular disease,,"""(type IA) SCN5A [HSA:6331] [KO:K04838], (type IB) TRPM4 [HSA:54795] [KO:K04979]""",,,,,,Brugada syndrome is described in H00728. [DS:H00728],"""ICD-10: Q20.9, OMIM: 113900 604559"""
C1879312,H00268,MeSH,D054082,"""Lissencephaly (LIS), Miller-Dieker syndrome (MDLS)""","""Lissencephaly, literally meaning smooth brain, is a severe neuronal migration disorder that ranges from agyria/pachygyria to subcortical band heterotopia.""",Developmental disorder; Nervous system disease,,"""(LIS1/MDLS) PAFAH1B1 [HSA:5048] [KO:K16794], (LIS2) RELN [HSA:5649] [KO:K06249], (LIS3) TUBA1A [HSA:7846] [KO:K07374], (LIS4) NDE1 [HSA:54820] [KO:K16738], (LIS5) LAMB1 [HSA:3912] [KO:K05636], (LIS6) KATNB1 [HSA:10300] [KO:K18643], (LIS7) CDK5 [HSA:1020] [KO:K02090], (LISX1) DCX [HSA:1641] [KO:K16579], (LISX2) ARX [HSA:170302] [KO:K09452], (MDLS) YWHAE [HSA:7531] [KO:K06630]""",,,,,,,"""ICD-10: Q04.3, MeSH: D054082, OMIM: 607432 257320 611603 614019 615191 616212 616342 300067 300215"""
C1879321,H00003,MeSH,D015470,Acute myeloid leukemia (AML),"""Acute myeloid leukemia (AML) is a disease that is characterized by uncontrolled proliferation of clonal neoplastic cells and accumulation in the bone marrow of blasts with an impaired differentiation program. AML accounts for approximately 80% of all adult leukemias and remains the most common cause of leukemia death. Two major types of genetic events have been described that are crucial for leukemic transformation. A proposed necessary first event is disordered cell growth and upregulation of cell survival genes. The most common of these activating events were observed in the RTK Flt3, in N-Ras and K-Ras, in Kit, and sporadically in other RTKs. Alterations in myeloid transcription factors governing hematopoietic differentiation provide second necessary event for leukemogenesis. Transcription factor fusion proteins such as PML-RARalpha (in Acute promyelocytic leukemia, a subtype of AML), AML-ETO or PLZF-RARalpha block myeloid cell differentiation by repressing target genes. In other cases,  the transcription factors themselves are mutated.""",Cancer,"""N00004  Duplication-activated FLT3 to RAS-ERK signaling pathway, N00012  Mutation-activated KRAS/NRAS to ERK signaling pathway, N00031  Duplication-activated FLT3 to RAS-PI3K signaling pathway, N00032  Mutation-activated KRAS/NRAS to PI3K signaling pathway, N00046  Mutation-activated KIT to PI3K signaling pathway, N00054  Duplication-activated FLT3 to Jak-STAT signaling pathway, N00108  AML1-ETO fusion to transcriptional activation, N00109  PML-RARA fusion to transcriptional activation, N00110  PLZF-RARA fusion to transcriptional activation, N00111  AML1-ETO fusion to CEBPA-mediated transcription, N00112  AML1-ETO fusion to PU.1-mediated transcription, N00113  PML-RARA fusion to transcriptional repression, N00114  PLZF-RARA fusion to transcriptional repression, N00116  Mutation-inactivated RUNX1 to transcription""","""FLT3 (mutation) [HSA:2322] [KO:K05092], c-KIT (mutation) [HSA:3815] [KO:K05091], N-ras (mutation) [HSA:4893] [KO:K07828], K-ras (mutation) [HSA:3845] [KO:K07827], PML-RARalpha (translocation) [HSA:5371 5914] [KO:K10054 K08527], AML1-ETO (translocation) [HSA:861 862] [KO:K08367 K10053], PLZF-RARalpha (translocation) [HSA:7704 5914] [KO:K10055 K08527], AML1 (mutation) [HSA:861] [KO:K08367], C/EBPalpha (mutation) [HSA:1050] [KO:K09055], PU.1 (mutation) [HSA:6688] [KO:K09438]""",,,"""Benzene [CPD:C01407], 1,4-Butanediol dimethanesulfonate (Busulphan; Myleran) [DR:D00248], Chlorambucil [DR:D00266], Cyclophosphamide [DG:DG00675], Ethylene oxide [CPD:C06548], Melphalan [DG:DG00676], Thiotepa [CPD:C07641]""",BCR-ABL fusion gene [HSA:613 25] [KO:K08878 K06619],"""Cytarabine [DG:DG00686], Daunorubicin [DG:DG00697], Idarubicin [DG:DG00700], Tretinoin [DR:D00094]""","""ICD-O: 9896/3, Tumor type: AML with t(8;21)(q22;q22), (AML1/ETO), ICD-O: 9871/3, Tumor type: AML with inv(16)(p13q22) or t(16; 16)(p13, q22), (CBF-beta/MYH11), ICD-O: 9866/3, Tumor type: Acute promyelocytic leukaemia (AML with t(15;17)(q22;q12), (PML/RAR-alpha) and variants), ICD-O: 9897/3, Tumor type: AML with 11q23 (MLL) abnormalities""","""ICD-10: C92.0, MeSH: D015470"""
C1955869,H00271,MeSH,D054220,Polymicrogyria,Polymicrogyria (PMG) is a malformation of cortical development characterized by an excessive number of small gyri with abnormal lamination.,Developmental disorder; Nervous system disease,,"""GPR56 [HSA:9289] [KO:K08450], SRPX2 [HSA:27286] [KO:K19408], PAX6 [HSA:5080] [KO:K08031], KIAA1279 [HSA:26128], EOMES [HSA:8320] [KO:K10173], RAB3GAP1 [HSA:22930] [KO:K18270], COL18A1 [HSA:80781] [KO:K06823], TUBA8 [HSA:51807] [KO:K07374], TUBB2B [HSA:347733] [KO:K07375], RTTN [HSA:25914] [KO:K16484], FIG4 [HSA:9896], PI4KA [HSA:5297] [KO:K00888]""",,,,,,,"""ICD-10: Q04.8, MeSH: D054220, OMIM: 606854 615752 300388 610031 613180 614833 612691 616531"""
C1955869,H01160,MeSH,D054220,Schizencephaly,"""Schizencephaly is a clinically and etiologically heterogeneous cerebral malformation presenting as unilateral or bilateral hemispheric cleft with direct connection between the inner and outer liquor spaces. Gray matter-lined clefts in the cerebral cortex and a range of neurological presentations are characteristic. Mutations in SIX3, SHH, and EMX2 have been reported.""",Developmental disorder; Nervous system disease,,"""SIX3 [HSA:6496] [KO:K19473], SHH [HSA:6469] [KO:K11988], EMX2 [HSA:2018] [KO:K09317]""",,,,,,Schizencephaly may be considered as part of the wide phenotypic spectrum of the distinct developmental anomaly holoprosencephaly [DS:H00267].,"""ICD-10: Q04.6, MeSH: D054220, OMIM: 269160"""
C1955869,H01881,MeSH,D054220,Complex cortical dysplasia with other brain malformations,"""Complex cortical dysplasia with other brain malformations (CDCBM) is a disorder of aberrant neuronal migration and disturbed axonal guidance. Patients exhibit mental retardation, strabismus combined with nystagmus, axial hypotonia, and spasticity. The severity of mental retardation ranged from mild to severe. Complex cortical malformations associated with mutations in tubulin and motor proteins of the kinesin genes has been reported.""",Developmental disorder; Nervous system disease,,"""TUBB [HSA:203068] [KO:K07375], TUBB2A [HSA:7280] [KO:K07375], TUBB2B HSA:347733] [KO:K07375], TUBB3 [HSA:10381] [KO:K07375], TUBG1 [HSA:7283] [KO:K10389], KIF2A [HSA:3796] [KO:K10393], KIF5C [HSA:3800] [KO:K10396]""",,,,,,See also H00268 Lissencephaly.,"""ICD-10: Q04.8, MeSH: D054220, OMIM: 614039 615282 615411 615412 615763 615771 610031"""
C1955934,H00866,MeSH,D054463,"""Trichothiodystrophy non-photosensitive, Amish brittle hair syndrome, BIDS syndrome, Hair-brain syndrome""","""Nonphotosensitive trichothiodystrophy (TTDN) is an autosomal recessive disorder characterized by short stature, intellectual impairment, sulfur-deficient brittle hair, and decreased male fertility but not cutaneous photosensitivity. TTDN1 may be involved in transcription but not DNA repair. Recently, a novel X-linked trichothiodystrophy associated with a nonsense mutation in RNF113A has been reported.""",Inherited metabolic disease; Developmental disorder,,"""MPLKIP [HSA:136647], RNF113A [HSA:7737] [KO:K13127]""",,,,,,The photosensitive trichothiodystrophy is included in disorders of nucleotide excision repair [DS:H00403].,"""ICD-10: E72.1 Q82.8, MeSH: D054463, OMIM: 234050 300953"""
C1956097,H01773,MeSH,D054877,"""4p deletion syndrome, Wolf-Hirschhorn syndrome""","""4p deletion syndrome, also known as Wolf-Hirschhorn syndrome (WHS), is a congenital disorder associated with various deformities. WHS is caused by deletion of the WHS critical resion (WHSCR) of chromosome 4p16.3. Because WHS is a contiguous gene deletion syndrome, loss of one copy of a single gene or the synergistic effects of loss of two or more genes could give rise to the features of WHS. The """"Greek warrior helmet appearance"""" is the most characteristic feature and refers to the facial view with prominent glabella, high arched eyebrow, broad nasal bridge and hypertelorism. Developmental delay and intellectual disability of variable degree is present in all. Seizures occur in 90% to 100% of children. Other findings include skeletal anomalies, congenital heart defects, hearing loss, urinary tract malformations, and structural brain abnormalities. Incidence is estimated to be about 1:50.000 births with a 2:1 female: male ratio.""",Developmental disorder,,"""CPLX1 [HSA:10815] [KO:K15294], CTBP1 [HSA:1487] [KO:K04496], FGFRL1 [HSA:53834], LETM1 [HSA:3954] [KO:K17800], NSD2 [HSA:7468] [KO:K11424]""",,,,,,,"""ICD-10: Q93.3, MeSH: D054877, OMIM:194190"""
C1956125,H00551,MeSH,D016738,Alagille syndrome,Alagille syndrome is a multi-system hereditary disorder characterized by hepatic bile duct paucity and cardiovascular malformations including pulmonic stenosis/ peripheral pulmonary stenosis and tetralogy of Fallot. Affected individuals show typical facies and abnormal butterfly vertebrae as well. Mutations in the Notch pathway cause Alagille syndrome.,Developmental disorder; Cardiovascular disease; Liver disease,,"""JAG1 [HSA:182] [KO:K06052], NOTCH2 [HSA:4853] [KO:K20994]""",,,,,,,"""ICD-10: Q44.7, MeSH: D016738, OMIM: 118450 610205"""
C1956130,H01613,MeSH,D008224,Follicular lymphoma,"""Follicular lymphoma (FL) is generally an indolent B cell lymphoproliferative disorder of transformed follicular center B cells. FL is characterized by diffuse lymphoadenopathy, bone marrow involvement, splenomegaly, and less commonly other extranodal sites of involvement. The genetic hallmark of FL, the translocation t(14;18)(q32;q21), results in the constitutive overexpression of the bcl 2 protein, which impairs the normal germinal centre apoptotic programme. Inactivating mutations of MLL2 are found in >80% of FL and interfere with the ability of MLL2 to activate gene transcription through H3K4 methylation. Mutations of other histone modifiers (CREBBP, EZH2, MEF2B, and EP300) are found in ;33%, 27%, 15%, and 9% of FL, respectively.""",Cancer,,"""IgH-BCL2 (translocation) [HSA:596] [KO:K06856 K02161], EZH2 (mutation) [HSA:2146] [KO:K11430], MLL2 (mutation) [HSA:9757 8085] [KO:K14959 K09187], CREBBP (mutation) [HSA:1387] [KO:K04498], MEF2B (mutation) [HSA:4207] [KO:K09261], EP300 (mutation) [HSA:2033] [KO:K04498]""",,,,CD20 [HSA:931] [KO:K06466],"""Rituximab [DR:D02994], Interferon alpha-2a [DR:D00745]""","""ICD-O-3: 9690/3 Follicular lymphoma, NOS, ICD-O-3: 9691/3 Follicular lymphoma, grade 2, ICD-O-3: 9695/3 Follicular lymphoma, grade 1, ICD-O-3: 9698/3 Follicular lymphoma, grade 3""","""ICD-10: C82, MeSH: D008224"""
C1956131,H01613,MeSH,D008224,Follicular lymphoma,"""Follicular lymphoma (FL) is generally an indolent B cell lymphoproliferative disorder of transformed follicular center B cells. FL is characterized by diffuse lymphoadenopathy, bone marrow involvement, splenomegaly, and less commonly other extranodal sites of involvement. The genetic hallmark of FL, the translocation t(14;18)(q32;q21), results in the constitutive overexpression of the bcl 2 protein, which impairs the normal germinal centre apoptotic programme. Inactivating mutations of MLL2 are found in >80% of FL and interfere with the ability of MLL2 to activate gene transcription through H3K4 methylation. Mutations of other histone modifiers (CREBBP, EZH2, MEF2B, and EP300) are found in ;33%, 27%, 15%, and 9% of FL, respectively.""",Cancer,,"""IgH-BCL2 (translocation) [HSA:596] [KO:K06856 K02161], EZH2 (mutation) [HSA:2146] [KO:K11430], MLL2 (mutation) [HSA:9757 8085] [KO:K14959 K09187], CREBBP (mutation) [HSA:1387] [KO:K04498], MEF2B (mutation) [HSA:4207] [KO:K09261], EP300 (mutation) [HSA:2033] [KO:K04498]""",,,,CD20 [HSA:931] [KO:K06466],"""Rituximab [DR:D02994], Interferon alpha-2a [DR:D00745]""","""ICD-O-3: 9690/3 Follicular lymphoma, NOS, ICD-O-3: 9691/3 Follicular lymphoma, grade 2, ICD-O-3: 9695/3 Follicular lymphoma, grade 1, ICD-O-3: 9698/3 Follicular lymphoma, grade 3""","""ICD-10: C82, MeSH: D008224"""
